propagation_time_s,safe_payload_bytes,execution_capacity_gas,transfer_capacity_gas,maximum_candidate_limit,physical_binding_constraint,benchmark,benchmark_label,optimize_floor,match_state_growth,shared_limit,shared_target,minimum_sufficient_floor_rate,floor_rate,cpsb,m_data,m_state,floor_payload_feasible
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,350000000.0,175000000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,375000000.0,187500000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,400000000.0,200000000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,425000000.0,212500000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,433602688.0,216801344.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,450000000.0,225000000.0,67,64,1530.0,2.161501805529043,5.656315259465248,False
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,475000000.0,237500000.0,71,64,1530.0,2.161501805529043,5.656315259465248,False
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,500000000.0,250000000.0,74,64,1530.0,2.161501805529043,5.656315259465248,False
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,525000000.0,262500000.0,78,64,1530.0,2.161501805529043,5.656315259465248,False
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,550000000.0,275000000.0,82,64,1530.0,2.161501805529043,5.656315259465248,False
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,state_matched_64,"State-matched 64: F=64, matched CPSB",False,True,50000000.0,25000000.0,40,64,510.0,2.161501805529043,1.8854384198217493,True
