floor_rate,floor_class,transactions,transaction_share,runtime_bal_bytes,runtime_bal_byte_share,incremental_bal_floor_gas,incremental_bal_floor_gas_share
90,unaffected,1791259,0.9428929521178598,624863154.0,0.8682686806700368,0.0,0.0
91,already floor-bound under static EIP-8131,41058,0.021612340163011095,32665825.0,0.0453902788061469,3141327553.0,0.565764867678795
91,within 10% of static floor,11629,0.0061213381985400165,5870426.0,0.008157157299742276,435929775.7511095,0.07851258671179816
91,newly floor-bound primarily because of deployed code,642,0.0003379395582993113,5714097.0,0.007939932818331316,357307680.02667177,0.06435245255396872
91,newly floor-bound through other non-code BAL,58652,0.03087356849434767,53512106.0,0.07435689779284883,1617790276.0036087,0.2913700930554385
91,unaffected,1787767,0.9410548135858019,621903207.0,0.8641557332829307,0.0,0.0
92,already floor-bound under static EIP-8131,41649,0.021923434055464198,33039257.0,0.04590917531634179,3210592816.0,0.557449833304179
92,within 10% of static floor,11990,0.006311363401882776,6141119.0,0.00853329446269078,464842924.22226095,0.08070989548377736
92,newly floor-bound primarily because of deployed code,669,0.0003521519696296561,5750883.0,0.007991048220932136,363222274.55090326,0.06306567291614028
92,newly floor-bound through other non-code BAL,60979,0.032098467796781466,55583264.0,0.07723484252779986,1720771128.7783093,0.2987745982959031
92,unaffected,1784461,0.9393145827762419,619151138.0,0.8603316394722355,0.0,0.0
93,already floor-bound under static EIP-8131,42447,0.022343489768116613,33491644.0,0.04653778249397396,3288141201.0,0.550566109708652
93,within 10% of static floor,12349,0.00650033583401588,6465887.0,0.008984570683858153,497258635.3301977,0.08326094764103173
93,newly floor-bound primarily because of deployed code,667,0.000351099198420001,5735670.0,0.007969909238173308,369091988.347042,0.06180073413120498
93,newly floor-bound through other non-code BAL,63037,0.033181769371516644,57408055.0,0.07977045190711135,1817799500.5916119,0.3043722085191116
93,unaffected,1781248,0.9376233058279309,616564405.0,0.8567372856768832,0.0,0.0
94,already floor-bound under static EIP-8131,43258,0.022770388493631787,33946724.0,0.04717013168702515,3366783242.0,0.5438960204751758
94,within 10% of static floor,13127,0.006909863834571743,7045621.0,0.00979013086467106,548067307.7101877,0.08853900182746445
94,newly floor-bound primarily because of deployed code,686,0.00036110052491172514,5753094.0,0.007994120480899255,374973229.49327046,0.0605760551383054
94,newly floor-bound through other non-code BAL,64601,0.03400503645746699,58621907.0,0.081457140693003,1900299176.7589746,0.306988922559054
94,unaffected,1778076,0.9359536106894177,614298315.0,0.8535884762744015,0.0,0.0
95,already floor-bound under static EIP-8131,44047,0.023185706735840753,34358060.0,0.04774169709898108,3442219645.0,0.5367790947701258
95,within 10% of static floor,13429,0.007068832287229675,7435314.0,0.010331622589395717,587986616.163118,0.09169052417077467
95,newly floor-bound primarily because of deployed code,706,0.00037162823700827687,5785741.0,0.008039484601725357,380889151.08808017,0.059395783771613836
95,newly floor-bound through other non-code BAL,67001,0.0352683619090532,60353341.0,0.08386302733429989,2001635035.968142,0.3121345972874858
95,unaffected,1774565,0.9341054708308681,611733205.0,0.8500241683755979,0.0,0.0
96,already floor-bound under static EIP-8131,44791,0.02357733762583248,34793092.0,0.04834618891174245,3521044032.0,0.5302187291268726
96,within 10% of static floor,13820,0.007274649058717261,7872845.0,0.010939586847954387,630712536.9630785,0.09497626180011064
96,newly floor-bound primarily because of deployed code,704,0.00037057546579862173,5788553.0,0.00804339197170615,386699437.1558485,0.05823138883224592
96,newly floor-bound through other non-code BAL,69656,0.036665915689870446,62130362.0,0.08633225866809838,2102282690.1512177,0.3165736202407711
96,unaffected,1770777,0.9321115221597812,609080809.0,0.8463385736004987,0.0,0.0
