design,stress,start,data_limit,peak_data_fee_multiple,recovery_blocks_median,recovery_fraction,data_limit_hit_fraction,data_offered_limit_pressure_fraction,data_cap_active_fraction,data_scale_determining_fraction,longest_data_limit_run,rationed_data,execution_fill,execution_floor_bounded_fraction
E300_D77,state,warm,90000000.0,23.768749999999997,5872.5,0.3333333333333333,0.5228819444444445,0.5231076388888889,0.5228819444444445,0.5228819444444445,21.291666666666668,32639403.666451413,0.7992985265982617,0.7598148148148148
E300_D80,state,warm,90000000.0,18.55486111111111,5721.0,0.5833333333333334,0.6000231481481482,0.6001967592592593,0.6000231481481482,0.6000231481481482,27.791666666666668,41781540.48980423,0.763912685695749,0.8159895833333334
E300_D85,state,warm,90000000.0,6.625,4625.0,0.9166666666666666,0.6930150462962962,0.693113425925926,0.6930150462962962,0.6930150462962962,43.416666666666664,57980606.90393605,0.702687007651707,0.8928472222222222
E200_D45,state,cold,90000000.0,52.57966558258746,,0.0,0.05634837962962963,0.056707175925925925,0.05634837962962963,0.05634837962962963,5.791666666666667,1792240.675733529,0.9756451155556799,0.04867476851851851
E225_D45,state,cold,90000000.0,47.62488111176888,,0.0,0.054565972222222224,0.054861111111111104,0.054565972222222224,0.054565972222222224,5.708333333333333,1690886.8960678913,0.9502723739626276,0.23253472222222218
E250_D60,state,cold,90000000.0,57.40161871315132,,0.0,0.1897685185185185,0.19041666666666668,0.1897685185185185,0.1897685185185185,8.541666666666666,7481770.860736837,0.9505322972148043,0.2574768518518518
E300_D77,state,cold,90000000.0,22.07804232804233,5872.5,0.3333333333333333,0.5158391203703704,0.5160648148148148,0.5158391203703704,0.5158391203703704,21.291666666666668,32177699.719012547,0.7852889675960036,0.7340567129629628
E300_D80,state,cold,90000000.0,17.39496158392435,5721.0,0.5,0.5922222222222222,0.5923958333333333,0.5922222222222222,0.5922222222222222,27.791666666666668,41188037.51418734,0.7506232371298767,0.7900520833333333
E300_D85,state,cold,90000000.0,6.283333333333334,4625.0,0.9166666666666666,0.6843229166666666,0.6844155092592592,0.6843229166666666,0.6843229166666666,43.416666666666664,57239592.39960339,0.6905002254304401,0.8660532407407407
E200_D45,access_only,warm,90000000.0,64.50564902946932,,0.0,0.05742476851851852,0.0578298611111111,0.05742476851851852,0.05742476851851852,5.75,1819744.7329774548,0.9918260769558753,0.053391203703703705
E225_D45,access_only,warm,90000000.0,57.54664162816533,,0.0,0.05544560185185185,0.05579282407407408,0.05544560185185185,0.05544560185185185,5.708333333333333,1713730.824718388,0.9664800292697345,0.2566261574074074
E250_D60,access_only,warm,90000000.0,63.287266573759275,,0.0,0.19246527777777778,0.19311921296296297,0.19246527777777778,0.19246527777777778,8.541666666666666,7570956.380831332,0.9678440581956606,0.274212962962963
E300_D77,access_only,warm,90000000.0,24.034953703703703,5872.5,0.3333333333333333,0.5231712962962963,0.5233969907407408,0.5231712962962963,0.5231712962962963,21.416666666666668,32605418.94403146,0.7989618965124546,0.7605844907407407
E300_D80,access_only,warm,90000000.0,18.78611111111111,5721.0,0.5833333333333334,0.6012384259259259,0.60140625,0.6012384259259259,0.6012384259259259,27.375,41811074.42091066,0.7633942078906314,0.8168692129629629
E300_D85,access_only,warm,90000000.0,6.8055555555555545,4625.0,0.9166666666666666,0.69546875,0.6955671296296296,0.69546875,0.69546875,43.625,58226220.2900934,0.70134289889691,0.8943807870370369
E200_D45,access_only,cold,90000000.0,52.77099246005394,,0.0,0.05604745370370371,0.056429398148148145,0.05604745370370371,0.05604745370370371,5.75,1774155.999761551,0.9752384471836024,0.051099537037037034
E225_D45,access_only,cold,90000000.0,47.80203904796358,,0.0,0.05424189814814815,0.054560185185185184,0.05424189814814815,0.05424189814814815,5.708333333333333,1672464.3599915989,0.9488535327550591,0.24195023148148145
E250_D60,access_only,cold,90000000.0,57.62816325338121,,0.0,0.18935185185185185,0.18999999999999997,0.18935185185185185,0.18935185185185185,8.541666666666666,7436255.3834931655,0.9498114086036984,0.26244791666666667
E300_D77,access_only,cold,90000000.0,22.355324074074076,5872.5,0.3333333333333333,0.5161689814814815,0.5163946759259259,0.5161689814814815,0.5161689814814815,21.416666666666668,32144274.42558078,0.7849429206252933,0.7348206018518518
E300_D80,access_only,cold,90000000.0,17.61659278959811,5721.0,0.5,0.5934259259259259,0.59359375,0.5934259259259259,0.5934259259259259,27.375,41217709.20954092,0.7500995589065322,0.7909375000000001
E300_D85,access_only,cold,90000000.0,6.408333333333334,4625.0,0.9166666666666666,0.6867766203703703,0.686869212962963,0.6867766203703703,0.6867766203703703,43.625,57484686.26989559,0.6891587917622789,0.8675810185185185
E200_D45,execution_access,warm,90000000.0,64.92460029213005,,0.0,0.05730902777777778,0.05800347222222222,0.05730902777777778,0.05730902777777778,5.791666666666667,1833938.5299732334,0.9926895336721301,0.042019675925925926
